;A;CA;CV;DD;DP;FC;FD;FF;FS;FT;G;GC;GS;I;PE;PP;RB;SG;atletas_scout;apelido;atleta_id;clubename;clube_id;jogos_num;media_num;nome;pontos_num;posicao_id;preco_num;Rodada;status_id;variacao_num
15963;;;;;;;;;;;;;;;;;;;;Lucas Macanhan;86760;Atletico-PR;ATL;0;0.0;Lucas Macanhan Ferreira;0.0;gol;2.0;19;Nulo;0.0
15964;;;;;;;;;;;;;;;;;;;;Pedro Bortoluzo;99041;Sao Paulo;SAO;0;0.0;Pedro Gomes Bortoluzo;0.0;ata;3.0;19;Nulo;0.0
15965;;;;;;;;;;;;;;;;;;;;Elias;99034;Sport;SPO;0;0.0;Elias Lira Nogueira Junior ;0.0;lat;2.0;19;Nulo;0.0
15966;;;;;;;;;;;;;;;;;;;;Pedro Vitor;99035;Sport;SPO;0;0.0;Pedro Vitor Ferreira Da Silva ;0.0;ata;1.0;19;Nulo;0.0
15967;;;;;;;;;;;;;;;;;;;;Jordi;86776;Vasco;VAS;0;0.0;Jordi Almeida;0.0;gol;4.0;19;Nulo;0.0
15968;;;;;;;;;;;;;;;;;;;;Vinicius;86861;Vitoria;VIT;0;0.0;Luis Vinicius da Silva Matos;0.0;zag;2.0;19;Nulo;0.0
15969;1.0;3.0;;;;17.0;3.0;;12.0;;1.0;;;1.0;32.0;;13.0;;;Matheus Rossetto;86766;Atletico-PR;ATL;14;1.39;Matheus Rossetto;0.0;mei;4.14;19;Duvida;0.0
15970;;;;;;;;;;;;;;;;;;;;Henrique Gelain;86783;Coritiba;COR;0;0.0;Henrique Gelain Custodio;0.0;lat;1.0;19;Nulo;0.0
15971;;;;;;;;;;;;;;;;;;;;Jose Welison;86859;Vitoria;VIT;0;0.0;Jose Welison da Silva;0.0;mei;4.0;19;Contundido;0.0
15972;1.0;3.0;;;;29.0;2.0;6.0;44.0;;;1.0;;4.0;101.0;;40.0;7.0;;Capa;86874;Avai;AVA;18;4.31;Edson Carlos Santos Lima Junior;7.6;lat;12.24;19;Provavel;1.64
15973;;1.0;;;;8.0;;;4.0;;;;;;9.0;;11.0;;;Rodrigo;86935;Sport;SPO;6;2.0;Rodrigo Vasconcelos Oliveira;0.0;mei;3.85;19;Nulo;0.0
15974;1.0;2.0;1.0;;;13.0;3.0;4.0;;;1.0;;;;22.0;;10.0;2.0;;Luiz Otavio ;86863;Chapecoense;CHA;10;2.38;Luiz Otavio da Silva Santos;0.0;zag;6.4;19;Nulo;0.0
15975;;;;;;4.0;;1.0;5.0;;;;;1.0;4.0;;5.0;1.0;;Eduardo Bauermann;86970;Atletico-GO;ATL;7;1.85;Eduardo Gabriel dos Santos Bauermann;0.0;zag;3.19;19;Nulo;0.0
15976;;;;;;6.0;;;1.0;;;;;;5.0;;2.0;1.0;;Leo Gomes;86973;Gremio;GRE;2;2.2;Leonardo Gomes da Conceicao Silva;0.0;lat;2.33;19;Provavel;0.0
15977;;2.0;1.0;;;10.0;;1.0;3.0;;;;;;13.0;;4.0;2.0;;Emerson Santos;86972;Botafogo;BOT;3;0.37;Emerson Raymundo Santos;6.5;zag;1.62;19;Provavel;0.84
15978;;;;;;;;;;;;;;;;;;;;Caio Cesar;86974;Avai;AVA;0;0.0;Caio Cesar da Silva Silveira;0.0;mei;3.0;19;Nulo;0.0
15979;;;;;;;;;1.0;;;;;;;;1.0;;;Beto da Silva;87028;Gremio;GRE;1;2.2;Luiz Humberto da Silva Silva;0.0;ata;3.74;19;Nulo;0.0
15980;;;;;;4.0;2.0;2.0;4.0;;1.0;;;;16.0;;10.0;7.0;;Pedro Henrique;87225;Corinthians;COR;12;4.88;Pedro Henrique Ribeiro Goncalves;8.0;zag;9.61;19;Nulo;0.38
15981;;1.0;;;;4.0;;;7.0;;;;;;6.0;;4.0;1.0;;Leonan;89693;Atletico-MG;ATL;3;3.17;Leonan Jose Valandro Gomes;4.9;lat;2.69;19;Nulo;0.51
15982;;;;;;;;;;;;;;;;;;;;Cicero;87158;Atletico-MG;ATL;0;0.0;Cicero Clebson Alves Santana;0.0;mei;2.0;19;Nulo;0.0
